"Gardiner Lessons 2 to 33","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","I10( 405, 0) - N35( 0, 330) - D46( 15, 495) - F2( 1260, 90) ","I10 - N35 - D46 - F2 ","Dnd","be wrathful, wrath (n.)","G24v"
"L","E","I10( 405, 0) - N35( 0, 330) - D46( 15, 495) - F2( 1260, 90) ","I10 - N35 - D46 - F2 ","Dnd","be wrathful, wrath (n.)","G24v"
"L","E","G87( 0, 15) - M12( 930, 0) - G1( 1320, 0) - X1( 2160, 15) - U38( 2670, 0) ","G87 - M12 - G1 - X1 - U38 ","mxAt","balance","G24v"
"L","E","D50( 0, 45) - D36( 180, 165) - G43( 1065, 0) - G37( 1725, 105) ","D50 - D36 - G43 - G37 ","Dbaw","accusation, reproach","G24v"
"L","E","O28( 0, 45) - Z1( 300, 270) - G14( 570, 45) - X1( 1560, 45) - I9( 1365, 525) - A40( 2145, 0) ","O28 - Z1 - G14 - X1 - I9 - A40 ","iwn-mwt-f","Pillar-of-his-Mother, a name of Horus","G24v"
"L","E","S24( 0, 15) - O34( 15, 615) - A2( 945, 0) ","S24 - O34 - A2 ","Ts","utterance, sentence","G24v"
"L","E","S29( 0, 0) - W11( 540, 45) - D21( 285, 525) - A2( 1230, 15) ","S29 - W11 - D21 - A2 ","sgr","peace, quiet","G24v (causative verb and noun)"
"L","E","W9( 0, 120) - G17( 390, 45) - G43( 1260, 0) - C4( 1890, 45) ","W9 - G17 - G43 - C4 ","Xnmw","Chnum, the ram-headed god of the First Cataract","G24v (divinity)"
"L","E","D46( 0, 0) - N35( 45, 510) - M17( 945, 45) - X1( 1350, 0) - V11( 1290, 240) - N23( 1965, 15) - Z1( 2085, 375) ","D46 - N35 - M17 - X1 - V11 - N23 - Z1 ","dnit","dam","G24v (noun)"
"L","E","V22( 0, 165) - V28( 765, 0) - N35A( 1080, 15) ","V22 - V28 - N35A ","mHi","drown","G24v (verb)"
"L","E","S29( 0, 0) - Q3( 615, 15) - D46( 270, 450) - M44( 1215, 0) - Y1V( 1620, 0) ","S29 - Q3 - D46 - M44 - Y1V ","spd","be keen, ready, caus (sspd) make ready","G24v (verb)"
"L","E","M17( 0, 0) - K1( 255, 15) - N35( 285, 600) - D58( 1185, 30) - O36( 1725, 15) ","M17 - K1 - N35 - D58 - O36 ","inb","wall","G25v"
"L","E","S19( 0, 0) ","S19 ","sDAwty (?)","treasurer","G25v"
"L","E","S29( 0, 0) - F32( 435, 45) - D21( 315, 420) - T11( 1110, 90) - D36( 1110, 315) ","S29 - F32 - D21 - T11 - D36 ","sXr","overlay","G25v"
"L","E","M17( 0, 0) - D4( 255, 210) - G43( 1095, 15) - A53( 1725, 15) - Y1( 2100, 0) - Z2( 2205, 360) ","M17 - D4 - G43 - A53 - Y1 - Z2 ","irw","form, nature","G25v"
"L","E","Q1( 0, 0) - X1( 510, 15) - F34( 495, 360) ","Q1 - X1 - F34 ","st-ib","pleasure, affection","G25v"
"L","E","G17( 0, 0) - S29( 930, 0) - V31( 1260, 15) - X1( 1215, 495) - X1( 1725, 495) - P3( 2250, 165) ","G17 - S29 - V31 - X1 - X1 - P3 ","msktt","the evening-bark of the sun-god","G25v"
"L","E","G17( 0, 0) - V29( 855, 0) - V31( 1410, 15) - X1( 1380, 420) - X1( 1845, 405) - P3( 2265, 120) ","G17 - V29 - V31 - X1 - X1 - P3 ","msktt","the evening-bark of the sun-god","G25v"
"L","E","S42( 0, 0) - A40( 330, 15) ","S42 - A40 ","sxm","Power, personified as deity, a power","G25v"
"L","E","S29( 0, 0) - J1( 300, 210) - G17( 810, 15) - S42( 1755, 15) - A40( 2145, 15) ","S29 - J1 - G17 - S42 - A40 ","sxm","Power, personified as a deity, a power","G25v"
"L","E","S29( 0, 0) - M13( 405, 15) - I10( 1095, 0) - D46( 735, 375) ","S29 - M13 - I10 - D46 ","swAD","make green","G25v"
"L","E","S29( 0, 0) - U33( 285, 0) - V28( 585, 0) - N35( 870, 285) - S15( 1800, 30) ","S29 - U33 - V28 - N35 - S15 ","stHn","make dazzling","G25v"
"L","E","V7( 210, 0) - D46( 750, 165) - N35( 0, 645) - M17( 1710, 15) - M17( 2010, 0) - X1( 2265, 225) - S26( 2790, 15) ","V7 - D46 - N35 - M17 - M17 - X1 - S26 ","SnDyt","apron, skirt","G25v"
"L","E","S29( 0, 180) - S29( 390, 180) - G17( 780, 0) - X1( 975, 660) - E6A( 1635, 210) ","S29 - S29 - G17 - X1 - E6A ","ssmt","horse","G25v"
"L","E","D21( 0, 0) - Q3( 375, 255) - D36( 0, 585) ","D21 - Q3 - D36 ","r-pat","hereditary prince","G25v"
"L","E","E9( 0, 0) - D36( 0, 420) - G43( 870, 45) - F44( 1500, 120) ","E9 - D36 - G43 - F44 ","iwaw","heir","G25v"
"L","E","M17( 0, 30) - D21( 300, 60) - X1( 495, 450) - A49( 1170, 60) - Y1V( 1815, 0) ","M17 - D21 - X1 - A49 - Y1V ","irt","duty","G25v"
"L","E","V26( 0, 0) - D46( 30, 405) - X1( 1215, 0) - P3( 990, 300) ","V26 - D46 - X1 - P3 ","manDt","the morning-bark of the sun-god","G25v"
"L","E","U23( 0, 15) - D58( 285, 15) - G43( 810, 0) - D54( 1470, 120) ","U23 - D58 - G43 - D54 ","Abw","cessation","G25v"
"L","E","M1( 0, 105) - G17( 375, 105) - G43( 1305, 120) - N8( 2040, 0) - Z2( 1935, 615) ","M1 - G17 - G43 - N8 - Z2 ","imAw","brilliance, splendour","G25v"
"L","E","T3( 0, 135) - I10( 600, 0) - I10( 300, 270) - G43( 1425, 90) - X1( 2070, 90) - N8( 2610, 60) - Z2( 2325, 675) ","T3 - I10 - I10 - G43 - X1 - N8 - Z2 ","HDDwt","brightness","G25v"
"L","E","G43( 0, 0) - X1( 645, 0) - X1( 1155, 0) - D53( 660, 420) ","G43 - X1 - X1 - D53 ","wtt","beget","G25v"
"L","E","M13( 0, 0) - I10( 690, 0) - Y1( 330, 480) ","M13 - I10 - Y1 ","wAD","be green, fresh","G25v"
"L","E","R8( 0, 30) - X1( 615, 0) - D21( 375, 225) - Z4( 630, 450) - Y1V( 1245, 0) ","R8 - X1 - D21 - Z4 - Y1V ","ntry","be divine","G25v"
"L","E","U33( 0, 0) - V28( 270, 15) - N35( 555, 270) - S15( 1485, 30) ","U33 - V28 - N35 - S15 ","tHn","be dazzling","G25v"
"L","E","F22( 0, 630) - X1( 735, 480) - Z4( 765, 930) - F9( 1215, 0) - F9( 1245, 795) ","F22 - X1 - Z4 - F9 - F9 ","pHty","might, strength","G25v"
"L","E","V28( 0, 180) - D36( 330, 180) - Q3( 375, 630) - Z4( 825, 615) - N36( 1470, 0) - N35A( 1500, 285) ","V28 - D36 - Q3 - Z4 - N36 - N35A ","Hapy","Hapy, the inundation-god, inundation,high nile","G25v (divinity)?"
"L","E","O42( 0, 0) - Q3( 360, 540) - N5( 945, 180) ","O42 - Q3 - N5 ","Ssp","light","G25v (noun)"
"L","E","D58( 0, 0) - G29( 525, 45) - G1( 1470, 30) - W11( 2280, 195) - A7( 2790, 30) - G37( 3600, 150) ","D58 - G29 - G1 - W11 - A7 - G37 ","bAgi","be remiss, slack","G25v (verb)"
"L","E","Z11( 0, 30) - G17( 510, 30) - X1( 615, 780) - Y1( 1455, 30) - Z2( 1470, 480) - O1( 2415, 0) - Z1( 2640, 495) ","Z11 - G17 - X1 - Y1 - Z2 - O1 - Z1 ","imyt  pr","estate, testament","G26v"
"L","E","N29( 0, 165) - U1( 375, 15) - T14( 1245, 15) - Y1V( 1560, 0) ","N29 - U1 - T14 - Y1V ","qmA","create","G26v"
"L","E","V25( 0, 0) - G43( 270, 0) - O26( 900, 15) ","V25 - G43 - O26 ","wD","stela","G26v"
"L","E","V25( 0, 0) - G43( 240, 0) - O39( 885, 195) ","V25 - G43 - O39 ","wD","stela","G26v"
"L","E","V28( 0, 30) - D36( 375, 225) - G43( 1230, 75) - P1( 1860, 0) - Z2( 1845, 480) ","V28 - D36 - G43 - P1 - Z2 ","Haaw","ships","G26v"
"L","E","M16( 0, 0) - G1( 525, 15) - Q3( 1350, 225) - S28( 1635, 15) - A24( 2580, 0) ","M16 - G1 - Q3 - S28 - A24 ","HAp","conceal, hide","G26v"
"L","E","V7( 0, 75) - N35( 390, 60) - V13( 390, 360) - A24( 1260, 0) ","V7 - N35 - V13 - A24 ","SnT","resent, vent anger on","G26v"
"L","E","M17( 0, 0) - X1( 615, 15) - W24( 1110, 105) - N35( 375, 450) - G43( 1500, 15) - D19( 2145, 120) - A13( 2805, 0) ","M17 - X1 - W24 - N35 - G43 - D19 - A13 ","itnw","rebel, adversary","G26v"
"L","E","S29( 0, 0) - X1( 270, 0) - X1( 270, 495) - F29( 750, 0) - N8( 1635, 90) ","S29 - X1 - X1 - F29 - N8 ","stt","ray","G26v"
"L","E","U5( 0, 0) - D36( 0, 465) - G43( 960, 45) - Y1( 1605, 60) - Z2( 1725, 435) ","U5 - D36 - G43 - Y1 - Z2 ","mAaw","offerings, tribute","G26v"
"L","E","V7( 225, 15) - N35( 0, 600) - D36( 870, 0) - G43( 975, 315) - U13( 1725, 0) - D54( 1800, 615) ","V7 - N35 - D36 - G43 - U13 - D54 ","Snaw","policing, control, lit. holding in check","G26v"
"L","E","O90A( 0, 0) - X1( 975, 0) - O1( 870, 375) ","O90A - X1 - O1 ","Hwt  aAt","temple","G26v"
"L","E","M20( 0, 0) - X1( 645, 45) - N23( 660, 390) ","M20 - X1 - N23 ","sxt","field, countryside","G26v"
"L","E","V28( 0, 0) - M2( 540, 15) - N35( 315, 600) - V31( 1170, 15) - D39( 1170, 420) ","V28 - M2 - N35 - V31 - D39 ","Hnk","present, offer","G26v"
"L","E","X1( 0, 510) - G43( 510, 0) - X1( 1095, 0) - A53( 1605, 0) - Y1V( 1905, 0) ","X1 - G43 - X1 - A53 - Y1V ","twt","like (tbe like, n someone)","G26v"
"L","E","M23( 0, 15) - M17( 510, 0) - M17( 765, 0) - X1( 1230, 75) - Y1( 990, 495) ","M23 - M17 - M17 - X1 - Y1 ","nsyt","kingship","G26v"
"L","E","W4( 0, 15) - S29( 825, 15) - D46( 1125, 0) - N20( 1110, 480) - O23( 2025, 90) ","W4 - S29 - D46 - N20 - O23 ","Hb-sd","jubilee, sed-festival","G26v"
"L","E","X1( 0, 270) - M17( 540, 0) - X1( 930, 0) - D17( 810, 255) ","X1 - M17 - X1 - D17 ","tit","figure, image","G26v"
"L","E","E9( 75, 0) - D36( 0, 450) - X1( 1005, 15) - F44( 885, 285) ","E9 - D36 - X1 - F44 ","iwat","heritage, inheritance","G26v"
"L","E","V5( 0, 0) - X1( 525, 30) - X1( 525, 510) - N23( 1035, 240) ","V5 - X1 - X1 - N23 ","sntt","foundation","G26v"
"L","E","D2( 240, 15) - D21( 0, 525) - D1( 945, 0) - Z1( 1065, 465) ","D2 - D21 - D1 - Z1 ","Hry-tp","chief, chieftain","G26v"
"L","E","G40( 0, 60) - G1( 945, 0) - X1( 1785, 0) - X6( 1770, 255) ","G40 - G1 - X1 - X6 ","pAt","offering, kind of loaf","G26v"
"L","E","F13( 0, 0) - Q3( 210, 630) - X1( 915, 60) - Y2( 660, 675) ","F13 - Q3 - X1 - Y2 ","wpwt - ipt","business, mission","G26v"
"L","E","G36( 30, 0) - D21( 0, 570) - D46( 915, 285) - A7( 1785, 60) - G37( 2505, 285) ","G36 - D21 - D46 - A7 - G37 ","wrD","be weary","G26v"
"L","E","M17( 0, 90) - U1( 285, 90) - F39A( 1200, 0) - J1( 1200, 495) - M17( 2010, 75) - M17( 2280, 90) ","M17 - U1 - F39A - J1 - M17 - M17 ","imAxy","revered, honoured","G26v"
"L","E","D36( 0, 0) - D21( 0, 360) - I9( 105, 645) - V33( 960, 225) ","D36 - D21 - I9 - V33 ","arf","pack, envelop, enclose","G26v"
"L","E","V13( 0, 270) - D58( 930, 0) - X1( 1455, 270) - S33( 1965, 15) ","V13 - D58 - X1 - S33 ","Tbt","sandal, sole (of feet)","G26v"
"L","E","M17( 0, 0) - N37( 270, 15) - X1( 480, 480) - Y1( 1215, 30) - Z2( 1320, 420) ","M17 - N37 - X1 - Y1 - Z2 ","iSt","property, belongings","G26v"
"L","E","N29( 240, 0) - N35( 0, 585) - A24( 945, 15) ","N29 - N35 - A24 ","qni","be brave","G26v (adjective and verb)"
"L","E","D45( 15, 0) - D21( 0, 495) - Y1V( 915, 15) ","D45 - D21 - Y1V ","Dsr","set apart, be set apart, private, adj. holy","G26v (adjective)"
"L","E","W24( 60, 0) - X1( 480, 90) - N1( 0, 390) ","W24 - X1 - N1 ","nwt","Nut, the sky - goddess","G26v (divinity)"
"L","E","F30( 0, 0) - D46( 0, 450) - A2( 945, 0) ","F30 - D46 - A2 ","Sdi","read aloud, recite","G26v (verb)"
"L","E","X1( 165, 15) - N37( 0, 630) - Z9( 1080, 0) - D54( 945, 420) ","X1 - N37 - Z9 - D54 ","tSi","be missing, absent oneself, r from","G26v (verb)"
"L","E","V7( 225, 0) - N35( 0, 570) - Z8( 900, 255) ","V7 - N35 - Z8 ","Sni","surround, encircle","G26v (verb)"
"L","E","V7( 225, 0) - N35( 0, 690) - V1( 960, 150) ","V7 - N35 - V1 ","Sni","surround, encircle","G26v (verb)"
"L","E","O1( 0, 225) - T3( 705, 0) - O1( 915, 240) ","O1 - T3 - O1 ","pr  HD","treasury (lit. white house)","G27v"
"L","E","F31( 0, 0) - S29( 510, 15) - M17( 795, 15) - M17( 1080, 30) - X1( 1380, 255) - N3( 1905, 75) - Z8( 2730, 90) - Z2( 2865, 495) ","F31 - S29 - M17 - M17 - X1 - N3 - Z8 - Z2 ","msyt","supper, evening meal","G27v"
"L","E","S29( 0, 0) - J28( 405, 0) - D46( 720, 15) - W24( 945, 315) - A10( 1575, 30) - A1( 2235, 45) ","S29 - J28 - D46 - W24 - A10 - A1 ","sqd","sailor, traveller","G27v"
"L","E","W11( 195, 0) - I9( 60, 405) - D19( 855, 180) - N35( 0, 705) - A2( 1485, 90) ","W11 - I9 - D19 - N35 - A2 ","gfn","rebuff","G27v"
"L","E","N37( 0, 225) - V4( 930, 0) - G1( 1875, 30) - G43( 2685, 15) - G37( 3345, 105) - A1( 4155, 15) ","N37 - V4 - G1 - G43 - G37 - A1 ","SwAw","poor man","G27v"
"L","E","G1( 0, 0) - W19( 780, 15) - M17( 1275, 15) - A24( 1545, 0) ","G1 - W19 - M17 - A24 ","Ami","mix, compound, Hr with","G27v"
"L","E","G43( 0, 0) - U28( 675, 0) - G1( 1110, 0) - D54( 1935, 120) ","G43 - U28 - G1 - D54 ","wDA","proceed","G27v"
"L","E","J1( 240, 0) - D21( 0, 405) - A15( 810, 120) ","J1 - D21 - A15 ","xr","fall, caus. sxr overthrow","G27v"
"L","E","N29( 240, 0) - D21( 0, 420) - S29( 915, 30) - T19( 1350, 30) - G43( 1785, 30) - Q6( 2430, 105) ","N29 - D21 - S29 - T19 - G43 - Q6 ","qrsw","coffin","G27v"
"L","E","N37( 0, 0) - D36( 0, 375) - X1( 960, 45) - X1( 960, 480) - N18( 1395, 255) ","N37 - D36 - X1 - X1 - N18 ","Satt","bread or cake of some kind","G27v"
"L","E","J2( 240, 0) - D36( 0, 465) ","J2 - D36 ","wt","bandage, bind","G27v"
"L","E","G43( 0, 15) - X1( 705, 30) - J2( 705, 285) - A24( 1245, 0) ","G43 - X1 - J2 - A24 ","wt","bandage, bind","G27v"
"L","E","O4( 225, 0) - N35( 15, 495) - N35( 0, 750) - D1( 1050, 255) ","O4 - N35 - N35 - D1 ","hnn","attend to, assent to","G27v"
"L","E","F31( 0, 30) - S29( 540, 30) - X1( 1035, 0) - U30( 990, 270) - G1( 1440, 45) - N35A( 2040, 60) ","F31 - S29 - X1 - U30 - G1 - N35A ","mstA","a liquid of some sort","G27v"
"L","E","I9( 90, 0) - N35( 0, 285) - J1( 180, 450) - G43( 855, 120) - V1( 1515, 195) - A49( 1920, 105) - Z3( 2535, 150) ","I9 - N35 - J1 - G43 - V1 - A49 - Z3 ","fnxw","Syrians, hence Phoenicians","G27v"
"L","E","M18( 0, 15) - M17( 405, 30) - M17( 705, 30) - X1( 1185, 0) - G37( 1050, 210) ","M18 - M17 - M17 - X1 - G37 ","iyt","mishap, harm","G27v"
"L","E","S29( 0, 0) - J1( 510, 15) - D21( 285, 510) - A15( 1215, 135) ","S29 - J1 - D21 - A15 ","sxr","overthrow","G27v (causative)"
"L","E","S29( 0, 0) - V29( 405, 0) - V31( 795, 210) - A24( 1665, 45) ","S29 - V29 - V31 - A24 ","ski","destroy, empty out","G27v (verb  transitive)"
"L","E","J8( 15, 0) - N35( 0, 570) - Y1V( 930, 0) ","J8 - N35 - Y1V ","qn","complete, be complete","G27v (verb  transitive)"
"L","E","X1( 180, 15) - V31( 0, 225) - V31( 15, 510) - A24( 870, 0) ","X1 - V31 - V31 - A24 ","tkk","attack","G27v (verb)"
"L","E","V13( 15, 90) - N35( 0, 450) - T14( 840, 15) - G41( 1140, 0) ","V13 - N35 - T14 - G41 ","Tni","distinguish","G27v (verb)"
"L","E","S29( 0, 0) - J28( 420, 15) - D46( 720, 30) - W24( 945, 360) - P1( 1560, 135) ","S29 - J28 - D46 - W24 - P1 ","sqdw","travel by water, fare upon (river, sea)","G28v"
"L","E","X1( 0, 270) - M17( 510, 30) - X1( 780, 285) - M17( 1275, 0) - D56( 1530, 75) - D54( 2160, 135) ","X1 - M17 - X1 - M17 - D56 - D54 ","titi","trample down","G28v"
"L","E","I9( 0, 0) - N29( 165, 375) - G1( 765, 45) - N18( 1440, 60) - Y1( 1455, 465) ","I9 - N29 - G1 - N18 - Y1 ","fqA","reward","G28v"
"L","E","F25( 0, 0) - G17( 420, 0) - Y1V( 1395, 15) ","F25 - G17 - Y1V ","wHm","repeat","G28v"
"L","E","S29( 0, 60) - U1( 390, 75) - G1( 1245, 90) - G17( 1860, 90) - T30( 2685, 0) - D40( 2700, 420) ","S29 - U1 - G1 - G17 - T30 - D40 ","smA","slay","G28v"
"L","E","S29( 0, 255) - U1( 420, 0) - T30( 420, 660) ","S29 - U1 - T30 ","smA","slay","G28v"
"L","E","P4( 0, 0) - D36( 15, 420) - Z7( 975, 180) - A1( 1380, 60) ","P4 - D36 - Z7 - A1 ","wHa","fisherman","G28v"
"L","E","W11( 180, 0) - D21( 0, 420) - U17( 840, 90) - G37( 1695, 90) ","W11 - D21 - U17 - G37 ","grg","falsehood, lie","G28v"
"L","E","D58( 0, 0) - D46( 450, 15) - X1( 660, 510) - M34( 1320, 30) ","D58 - D46 - X1 - M34 ","bdt","emmer, a poor kind of cereal","G28v"
"L","E","M8( 0, 135) - G1( 885, 15) - D46( 1620, 0) - D40( 1575, 330) ","M8 - G1 - D46 - D40 ","SAd","excavate, dig out","G28v"
"L","E","D46( 0, 0) - Q3( 345, 480) - M17( 960, 0) - M17( 1260, 0) - I3( 1545, 240) ","D46 - Q3 - M17 - M17 - I3 ","dpy","crocodile (rare)","G28v"
"L","E","D58( 0, 15) - M17( 540, 15) - N41( 1080, 0) - F18( 825, 495) ","D58 - M17 - N41 - F18 ","biA","copper","G28v"
"L","E","N36( 0, 0) - N21( 90, 390) - Z1( 585, 330) ","N36 - N21 - Z1 ","mr","canal, lake","G28v"
"L","E","X1( 195, 0) - V31( 0, 330) - N35( 870, 0) - D54( 990, 165) ","X1 - V31 - N35 - D54 ","tkn","approach, with m, more rarely transitive","G28v"
"L","E","V30( 0, 0) ","V30 ","nbt","basket, island-home (?)","G28v"
"L","E","F31( 0, 0) - J1( 495, 195) - G4( 1005, 45) - U19( 1950, 75) ","F31 - J1 - G4 - U19 ","msxtyw","adze","G28v"
"L","E","M23( 0, 0) - G43( 540, 0) - X1( 1185, 0) - Z4( 1200, 345) - A40( 1590, 0) ","M23 - G43 - X1 - Z4 - A40 ","stX","Set","G28v"
"L","E","G1( 0, 0) - O34( 840, 0) - J1( 1080, 360) - T30( 1800, 120) "," G1 - O34 - J1 - T30 ","Asx","reap","G28v"
"L","E","S29( 0, 0) - S29( 300, 15) - N35( 630, 0) - D19( 690, 240) ","S29 - S29 - N35 - D19 ","ssn","breathe (trans.), smell","G28v (causative)"
"L","E","E20( 0, 0) - A41( 660, 15) ","E20 - A41 ","stX","Seth (god)","G28v (divinity)"
"L","E","G17( 0, 0) - D38( 855, 0) - V13( 840, 405) - N35( 1710, 75) - N25( 1710, 345) ","G17 - D38 - V13 - N35 - N25 ","mTn","Mitanni, a kingdom E. of the Euphrates","G28v (locality)"
"L","B","U23( 0, 30) - D58( 405, 30) - G43( 810, 30) - W6( 1575, 0) - N25( 1440, 420) ","U23 - D58 - G43 - W6 - N25 ","Abw","Elephantine, an island at the N. end of the First Cataract","G28v (locality)"
"L","E","S29( 0, 0) - D46( 255, 210) - G1( 1185, 15) - G33( 1980, 0) ","S29 - D46 - G1 - G33 ","sdA","tremble","G28v (verb  transitive)"
"L","E","S29( 0, 0) - D58( 285, 0) - M17( 810, 0) - A14( 1080, 105) ","S29 - D58 - M17 - A14 ","sbi","rebel","G28v (verb and noun)"
"L","E","F30( 0, 0) - D46( 15, 450) - A24( 825, 75) ","F30 - D46 - A24 ","Sdi","take out, extract, rescue, clear (a canal)","G28v (verb)"
"L","E","S29( 0, 15) - J18( 285, 15) - G1( 1110, 0) - A2( 1935, 0) ","S29 - J18 - G1 - A2 ","sAi","be satisfied","G28v (verb)"
"L","E","D61( 0, 60) - Z1( 900, 0) - F51( 795, 375) ","D61 - Z1 - F51 ","sAH","toe","G29v"
"L","E","E34B( 0, 0) ","E34B ","wnt","the Hare-nome, the 15th nome or province of Upper Egypt","G29v"
"L","E","M12( 0, 0) - G1( 420, 0) - G43( 1230, 30) - X1( 1860, 30) - R2( 2370, 30) ","M12 - G1 - G43 - X1 - R2 ","xAwt","table of offerings","G29v"
"L","E","V31( 30, 0) - X1( 0, 315) - X1( 510, 315) - G37( 1050, 0) ","V31 - X1 - X1 - G37 ","ktt","little, trifling","G29v"
"L","E","S38( 0, 15) - N29( 270, 225) - G1( 660, 0) - Y1V( 1485, 15) ","S38 - N29 - G1 - Y1V ","HqA","rule","G29v"
"L","E","S29( 0, 0) - V13( 330, 30) - V34( 540, 300) ","S29 - V13 - V34 ","sTi","perfume","G29v"
"L","E","S29( 0, 0) - X1( 345, 15) - Z4( 375, 435) - J2( 900, 165) ","S29 - X1 - Z4 - J2 ","sty","perfume","G29v"
"L","E","S29( 0, 0) - I9( 315, 30) - X1( 420, 435) - W22( 960, 150) ","S29 - I9 - X1 - W22 ","sft","oil for anointing","G29v"
"L","E","V28( 0, 0) - S29( 300, 0) - Y5( 585, 0) - N35( 555, 600) - U32( 1530, 15) - N33( 2160, 0) - Z2( 1950, 435) ","V28 - S29 - Y5 - N35 - U32 - N33 - Z2 ","Hsmn","natron","G29v"
"L","E","D60( 0, 0) - X1( 585, 15) - F51( 600, 330) ","D60 - X1 - F51 ","wabt","meat","G29v"
"L","E","X1( 0, 0) - U30( 0, 285) - G1( 510, 0) - Q7( 1320, 0) ","X1 - U30 - G1 - Q7 ","tA","be hot","G29v"
"L","E","L2( 0, 120) - X1( 930, 390) - W22( 1545, 0) - Z2( 1455, 540) ","L2 - X1 - W22 - Z2 ","bit","honey","G29v"
"L","E","J27( 0, 0) - W24( 405, 435) - A24( 810, 120) ","J27 - W24 - A24 ","nD","grind","G29v"
"L","E","D50( 0, 0) - Z1( 210, 180) ","D50 - Z1 ","Dba","finger","G29v"
"L","E","S29( 0, 15) - D46( 270, 225) - D58( 1185, 0) - A2( 1680, 0) ","S29 - D46 - D58 - A2 ","sdb","swallow","G29v"
"L","E","D36( 0, 0) - I9( 75, 390) - D46( 870, 15) - X1( 1125, 390) - M3( 1770, 180) ","D36 - I9 - D46 - X1 - M3 ","afdt","box","G29v"
"L","E","N29( 255, 0) - N35( 0, 345) - D46( 0, 540) - E32( 885, 180) ","N29 - N35 - D46 - E32 ","qnd","be angry, furious","G29v"
"L","E","N29( 255, 0) - N35( 0, 345) - D46( 0, 540) - E32( 885, 180) ","N29 - N35 - D46 - E32 ","qnd","be angry, furious","G29v"
"L","E","S29( 0, 15) - U1( 270, 15) - G1( 1170, 0) - G43( 1950, 15) - Z4( 2595, 30) - Y1V( 3105, 45) ","S29 - U1 - G1 - G43 - Z4 - Y1V ","smAwy","restore, renew","G29v (causative)"
"L","E","Y3( 0, 0) - Y1V( 645, 0) ","Y3 - Y1V ","sS","writing, papyrus, book","G29v (noun)"
"L","E","S29( 0, 0) - M17( 300, 15) - Q3( 705, 15) - X1( 570, 525) - Z4( 1320, 30) - Y1( 1095, 540) ","S29 - M17 - Q3 - X1 - Z4 - Y1 ","sip","inspection","G29v (noun)"
"L","E","S29( 0, 0) - G17( 390, 15) - M23( 1230, 30) - G43( 1725, 30) - A19( 2325, 30) ","S29 - G17 - M23 - G43 - A19 ","smsw","elder, eldest","G29v (noun)"
"L","E","J1( 0, 120) - D58( 510, 0) - Z9( 1020, 120) ","J1 - D58 - Z9 ","xbi","curtail, subtract","G29v (verb)"
"L","E","J1( 240, 15) - X1( 225, 765) - Y1( 855, 0) - D21( 0, 465) - Z2( 945, 705) ","J1 - X1 - Y1 - D21 - Z2 ","xrt","what belongs to someone or something","G30v"
"L","E","N41( 0, 195) - G17( 495, 0) - M3( 1410, 0) - J1( 1395, 360) - X1( 1920, 510) - D55( 2415, 75) ","N41 - G17 - M3 - J1 - X1 - D55 ","Hm  xt","retreat","G30v"
"L","E","N41( 0, 195) - G17( 510, 0) - D55( 1440, 150) ","N41 - G17 - D55 ","Hm","retire, flee","G30v"
"L","E","G1( 0, 120) - D21( 465, 0) - T12( 615, 255) - A24( 1200, 135) ","G1 - D21 - T12 - A24 ","Ar","restrain, hold back","G30v"
"L","E","F42( 15, 15) - D21( 0, 420) - X1( 810, 0) - Z4( 855, 375) - A1( 1260, 30) ","F42 - D21 - X1 - Z4 - A1 ","sprty","petitioner","G30v"
"L","E","O4( 90, 0) - Q3( 630, 165) - Y1( 0, 450) ","O4 - Q3 - Y1 ","hp","law","G30v"
"L","E","G43( 0, 225) - I10( 735, 0) - I9( 630, 750) - D54( 1485, 405) ","G43 - I10 - I9 - D54 ","wdf","lag, delay","G30v"
"L","E","J1( 195, 0) - N35( 0, 615) - T34( 945, 15) - G17( 1350, 30) - S29( 2295, 30) - A21( 2550, 30) - A1( 3195, 30) ","J1 - N35 - T34 - G17 - S29 - A21 - A1 ","xnms","friend","G30v"
"L","E","T24( 0, 0) - X1( 840, 30) - N21( 900, 375) ","T24 - X1 - N21 ","aHt","field, holding (of land)","G30v"
"L","E","J1( 240, 0) - D21( 0, 420) - P8( 870, 0) - G43( 1140, 0) - M17( 1755, 0) - M17( 2040, 0) - A13( 2325, 0) ","J1 - D21 - P8 - G43 - M17 - M17 - A13 ","xrwy","enemy","G30v"
"L","E","G43( 0, 0) - N23( 645, 0) - Z1( 735, 330) ","G43 - N23 - Z1 ","w","district, region","G30v"
"L","E","N37( 0, 0) - I9( 75, 240) - X1( 180, 480) - F7( 825, 150) ","N37 - I9 - X1 - F7 ","Sft","dignity, worth","G30v"
"L","E","N41( 0, 135) - G17( 390, 0) - D52( 1230, 165) ","N41 - G17 - D52 ","Hm","coward, poltroon","G30v"
"L","E","S29( 0, 0) - I10( 450, 15) - Z9( 480, 270) - A24( 1095, 30) ","S29 - I10 - Z9 - A24 ","sD","break, smash","G30v"
"L","E","N29( 225, 330) - N35( 0, 915) - D58( 945, 330) - X1( 1560, 285) - O38( 1455, 525) - A1( 2145, 0) - Z2( 2115, 765) ","N29 - N35 - D58 - X1 - O38 - A1 - Z2 ","qnbt","body of officials or magistrates","G30v"
